"","supercoach","match_round","season","player_team","player_name"
"453",108,"2",2020,"Collingwood","Jack Crisp"
"454",108,"2",2020,"Richmond","Ivan Soldo"
"455",107,"2",2020,"Brisbane Lions","Dayne Zorko"
"456",107,"2",2020,"Carlton","Marc Murphy"
"457",106,"2",2020,"Brisbane Lions","Mitch Robinson"
"458",105,"2",2020,"St Kilda","Hunter Clark"
"459",105,"2",2020,"Essendon","Devon Smith"
"460",105,"2",2020,"West Coast","Tim Kelly"
"461",105,"2",2020,"Collingwood","Brayden Maynard"
"462",104,"2",2020,"North Melbourne","Jy Simpkin"
"463",104,"2",2020,"Essendon","Kyle Langford"
"464",104,"2",2020,"Richmond","Shai Bolton"
"465",103,"2",2020,"North Melbourne","Trent Dumont"
"466",103,"2",2020,"Carlton","Sam Petrevski-Seton"
"467",101,"2",2020,"Geelong","Patrick Dangerfield"
"468",101,"2",2020,"Port Adelaide","Justin Westhoff"
"469",100,"2",2020,"Richmond","Nick Vlastuin"
"470",100,"2",2020,"Gold Coast","Lachie Weller"
"471",100,"2",2020,"Essendon","Adam Saad"
"472",100,"2",2020,"Sydney","Oliver Florent"
"473",99,"2",2020,"Gold Coast","Jack Bowes"
"474",99,"2",2020,"Richmond","Trent Cotchin"
"475",99,"2",2020,"Collingwood","Tom Phillips"
"476",99,"2",2020,"Port Adelaide","Tom Rockliff"
"477",99,"2",2020,"Brisbane Lions","Brandon Starcevich"
"478",98,"2",2020,"Essendon","Andrew McGrath"
"479",98,"2",2020,"Carlton","Ed Curnow"
"480",98,"2",2020,"Gold Coast","Touk Miller"
"481",98,"2",2020,"Greater Western Sydney","Harry Himmelberg"
"482",98,"2",2020,"Port Adelaide","Tom Clurey"
"483",97,"2",2020,"Greater Western Sydney","Nick Haynes"
"484",97,"2",2020,"St Kilda","Dan Hannebery"
"485",97,"2",2020,"Western Bulldogs","Patrick Lipinski"
"486",97,"2",2020,"Greater Western Sydney","Lachie Whitfield"
"487",96,"2",2020,"St Kilda","Callum Wilkie"
"488",96,"2",2020,"Essendon","Dylan Shiel"
"489",96,"2",2020,"Sydney","Callum Mills"
"490",96,"2",2020,"Hawthorn","James Sicily"
"491",95,"2",2020,"Collingwood","Steele Sidebottom"
"492",95,"2",2020,"Richmond","David Astbury"
"493",95,"2",2020,"Geelong","Mark Blicavs"
"494",95,"2",2020,"Hawthorn","Tom Mitchell"
"495",95,"2",2020,"Gold Coast","Hugh Greenwood"
"496",94,"2",2020,"Fremantle","James Aish"
