"","season","match_date","match_round","player_team","bookmaker_prob_win"
"435",2018,"2018-04-02",2,"Geelong",0.57
"436",2018,"2018-04-06",3,"Collingwood",0.63
"437",2018,"2018-04-06",3,"Carlton",0.37
"438",2018,"2018-04-07",3,"Port Adelaide",0.89
"439",2018,"2018-04-07",3,"Brisbane Lions",0.11
"440",2018,"2018-04-07",3,"Melbourne",0.73
"441",2018,"2018-04-07",3,"North Melbourne",0.27
"442",2018,"2018-04-07",3,"Fremantle",0.66
"443",2018,"2018-04-07",3,"Gold Coast",0.34
"444",2018,"2018-04-07",3,"Sydney",0.56
"445",2018,"2018-04-07",3,"Greater Western Sydney",0.44
"446",2018,"2018-04-07",3,"Adelaide",0.73
"447",2018,"2018-04-07",3,"St Kilda",0.27
"448",2018,"2018-04-08",3,"Richmond",0.57
"449",2018,"2018-04-08",3,"Hawthorn",0.43
"450",2018,"2018-04-08",3,"Western Bulldogs",0.34
"451",2018,"2018-04-08",3,"Essendon",0.66
"452",2018,"2018-04-08",3,"West Coast",0.48
"453",2018,"2018-04-08",3,"Geelong",0.52
"454",2018,"2018-04-13",4,"Collingwood",0.19
"455",2018,"2018-04-13",4,"Adelaide",0.81
"456",2018,"2018-04-14",4,"Greater Western Sydney",0.81
"457",2018,"2018-04-14",4,"Fremantle",0.19
"458",2018,"2018-04-14",4,"Richmond",0.87
"459",2018,"2018-04-14",4,"Brisbane Lions",0.13
"460",2018,"2018-04-14",4,"Sydney",0.74
"461",2018,"2018-04-14",4,"Western Bulldogs",0.26
"462",2018,"2018-04-14",4,"North Melbourne",0.64
"463",2018,"2018-04-14",4,"Carlton",0.36
"464",2018,"2018-04-14",4,"West Coast",0.81
"465",2018,"2018-04-14",4,"Gold Coast",0.19
"466",2018,"2018-04-15",4,"Essendon",0.43
"467",2018,"2018-04-15",4,"Port Adelaide",0.57
"468",2018,"2018-04-15",4,"Hawthorn",0.44
"469",2018,"2018-04-15",4,"Melbourne",0.56
"470",2018,"2018-04-15",4,"Geelong",0.75
"471",2018,"2018-04-15",4,"St Kilda",0.25
"472",2018,"2018-04-20",5,"Adelaide",0.23
"473",2018,"2018-04-20",5,"Sydney",0.77
"474",2018,"2018-04-21",5,"St Kilda",0.29
"475",2018,"2018-04-21",5,"West Coast",0.81
"476",2018,"2018-04-21",5,"Carlton",0.19
"477",2018,"2018-04-21",5,"Geelong",0.35
"478",2018,"2018-04-21",5,"Port Adelaide",0.65
"479",2018,"2018-04-21",5,"Fremantle",0.62
"480",2018,"2018-04-21",5,"Western Bulldogs",0.38
"481",2018,"2018-04-22",5,"North Melbourne",0.38
"482",2018,"2018-04-22",5,"Hawthorn",0.62
"483",2018,"2018-04-22",5,"Gold Coast",0.43
"484",2018,"2018-04-22",5,"Brisbane Lions",0.57
"485",2018,"2018-04-24",5,"Richmond",0.63
"486",2018,"2018-04-24",5,"Melbourne",0.37
"487",2018,"2018-04-25",5,"Collingwood",0.55
"488",2018,"2018-04-25",5,"Essendon",0.45
"489",2018,"2018-04-27",6,"Western Bulldogs",0.67
"490",2018,"2018-04-27",6,"Carlton",0.33
"491",2018,"2018-04-28",6,"Sydney",0.34
"492",2018,"2018-04-28",6,"Geelong",0.66
"493",2018,"2018-04-28",6,"Port Adelaide",0.56
"494",2018,"2018-04-28",6,"North Melbourne",0.44
"495",2018,"2018-04-28",6,"Greater Western Sydney",0.86
"496",2018,"2018-04-28",6,"Brisbane Lions",0.14
"497",2018,"2018-04-28",6,"Hawthorn",0.64
"498",2018,"2018-04-28",6,"St Kilda",0.36
"499",2018,"2018-04-28",6,"Adelaide",0.87
"500",2018,"2018-04-28",6,"Gold Coast",0.13
"501",2018,"2018-04-29",6,"Melbourne",0.56
"502",2018,"2018-04-29",6,"Essendon",0.44
"503",2018,"2018-04-29",6,"Richmond",0.65
